CompanyName,PreviousClose,LastUpdated,PercentChange,ChangeInPrice,TradeTime,CompanyShortName,Volume,MarketCap,NumberofShares,Dividend,DividendYield,PERatio,FreeFloatinP,EPS2023,BookValuePerShare,CashFlowPerShare,NewsArticle,BuySellHold,52WeekLow,52WeekHigh,Forecast
3M,106.77,106.42,-0.33%,-0.35,03:19:19 PM,MMM,"246,550.00",58.33,550.50,6.01,,11.88,99.88,8.63,28.52,10.84,"3M Health Info, Amazon Web Services collaborate on ambient intelligence : https://markets.businessinsider.comhttps://seekingalpha.com/news/3957389-3m-health-info-amazon-web-services-collaborate-on-ambient-intelligence?utm_source=businessinsider&utm_medium=referral","3M  stock has received a consensus rating of hold. The average rating score is A1 and is based on 1 buy ratings, 50 hold ratings, and 26 sell ratings.","The low in the last 52 weeks of 3M stock was 100.19. According to the current price, 3M is 106.24% away from the 52-week low.","The high in the last 52 weeks of 3M stock was 154.64. According to the current price, 3M is 68.83% away from the 52-week high.","The 77 analysts offering price forecasts for 3M  have a median target of 155.71, with a high estimate of 215.00 and a low estimate of 103.00. The median estimate represents a 68.36 difference from the last price of 106.44."
A.O. Smith,67.53,68.41,1.30%,0.88,03:18:57 PM,AOS,"106,122.00",10.27,126.87,2.48,,18.25,98.25,3.33,12.53,3.92,Analysts Offer Insights on Industrial Goods Companies: A. O. Smith Corporation (AOS) and Fastenal Company (FAST) : https://markets.businessinsider.com/news/stocks/analysts-offer-insights-on-industrial-goods-companies-a-o-smith-corporation-aos-and-fastenal-company-fast-1032236084,"A.O. Smith  stock has received a consensus rating of buy. The average rating score is  and is based on 9 buy ratings, 7 hold ratings, and 3 sell ratings.","The low in the last 52 weeks of A.O. Smith stock was 46.59. According to the current price, A.O. Smith is 146.90% away from the 52-week low.","The high in the last 52 weeks of A.O. Smith stock was 71.85. According to the current price, A.O. Smith is 95.25% away from the 52-week high.","The 19 analysts offering price forecasts for A.O. Smith  have a median target of 65.68, with a high estimate of 88.00 and a low estimate of 40.00. The median estimate represents a 104.20 difference from the last price of 68.44."
Abbott Laboratories,104.52,104.18,-0.33%,-0.34,03:19:53 PM,ABT,"775,417.00",1.74,,1.99,,20.61,99.31,4.39,22.44,5.87,All eyes on Abbott Q1 results amid baby formula woes and device recall : https://markets.businessinsider.comhttps://seekingalpha.com/news/3957394-all-eyes-on-abbott-q1-results-amid-baby-formula-woes-device-recall?utm_source=businessinsider&utm_medium=referral,"Abbott Laboratories  stock has received a consensus rating of buy. The average rating score is A1 and is based on 55 buy ratings, 5 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Abbott Laboratories stock was 93.27. According to the current price, Abbott Laboratories is 111.55% away from the 52-week low.","The high in the last 52 weeks of Abbott Laboratories stock was 124.35. According to the current price, Abbott Laboratories is 83.67% away from the 52-week high.","The 60 analysts offering price forecasts for Abbott Laboratories  have a median target of 129.88, with a high estimate of 157.00 and a low estimate of 105.00. The median estimate represents a 80.10 difference from the last price of 104.04."
AbbVie,161.19,159.62,-0.97%,-1.57,03:19:49 PM,ABBV,"240,655.00",1.77,,3.86,,11.82,99.86,11.05,9.76,12.16,Allergan Aesthetics Celebrates the Journeys of Women Surgeons with LIMITLESS : https://markets.businessinsider.com/news/stocks/allergan-aesthetics-celebrates-the-journeys-of-women-surgeons-with-limitless-1032240103,"AbbVie  stock has received a consensus rating of buy. The average rating score is  and is based on 29 buy ratings, 14 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of AbbVie stock was 134.09. According to the current price, AbbVie is 119.46% away from the 52-week low.","The high in the last 52 weeks of AbbVie stock was 168.10. According to the current price, AbbVie is 95.29% away from the 52-week high.","The 45 analysts offering price forecasts for AbbVie  have a median target of 158.20, with a high estimate of 200.00 and a low estimate of 113.00. The median estimate represents a 101.26 difference from the last price of 160.19."
Accenture,279.95,279.79,-0.06%,-0.16,03:19:54 PM,ACN,"221,180.00",185.35,662.60,1.73,,26.95,99.73,11.60,40.86,14.88,"Why Chewy, Williams-Sonoma, and Accenture Are No-Brainer Buys Right Now : https://markets.businessinsider.com/news/stocks/why-chewy--williams-sonoma--and-accenture-are-no-brainer-buys-right-now-12359194","Accenture  stock has received a consensus rating of buy. The average rating score is  and is based on 44 buy ratings, 18 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Accenture stock was 242.86. According to the current price, Accenture is 115.11% away from the 52-week low.","The high in the last 52 weeks of Accenture stock was 330.20. According to the current price, Accenture is 84.66% away from the 52-week high.","The 64 analysts offering price forecasts for Accenture  have a median target of 349.56, with a high estimate of 480.00 and a low estimate of 245.00. The median estimate represents a 79.97 difference from the last price of 279.56."
Activision Blizzard,85.50,85.54,0.05%,0.04,03:19:42 PM,ATVI,"484,817.00",66.99,784.27,0.47,,22.52,93.68,3.82,27.79,3.59,"Activision Blizzard, Inc (ATVI) to Report Q1 Results: Wall Street Expects Earnings Growth : https://markets.businessinsider.com/news/stocks/activision-blizzard--inc-atvi-to-report-q1-results--wall-street-expects-earnings-growth-12360950","Activision Blizzard  stock has received a consensus rating of buy. The average rating score is  and is based on 26 buy ratings, 7 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Activision Blizzard stock was 70.95. According to the current price, Activision Blizzard is 120.40% away from the 52-week low.","The high in the last 52 weeks of Activision Blizzard stock was 85.88. According to the current price, Activision Blizzard is 99.46% away from the 52-week high.","The 34 analysts offering price forecasts for Activision Blizzard  have a median target of 97.18, with a high estimate of 120.00 and a low estimate of 54.00. The median estimate represents a 87.90 difference from the last price of 85.42."
Adobe,377.92,377.37,-0.15%,-0.55,03:19:53 PM,ADBE,"244,533.00",174.32,458.70,0.00,,24.32,99.25,15.49,35.60,17.64,"Analysts’ Opinions Are Mixed on These Technology Stocks: Adobe (ADBE), Alphabet Class A (GOOGL) and Atlassian (TEAM) : https://markets.businessinsider.com/news/stocks/analysts-opinions-are-mixed-on-these-technology-stocks-adobe-adbe-alphabet-class-a-googl-and-atlassian-team-1032238851","Adobe  stock has received a consensus rating of buy. The average rating score is A2 and is based on 66 buy ratings, 32 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Adobe stock was 274.80. According to the current price, Adobe is 136.97% away from the 52-week low.","The high in the last 52 weeks of Adobe stock was 451.09. According to the current price, Adobe is 83.44% away from the 52-week high.","The 98 analysts offering price forecasts for Adobe  have a median target of 457.35, with a high estimate of 725.00 and a low estimate of 310.00. The median estimate represents a 82.30 difference from the last price of 376.40."
Advance Auto Parts,126.91,127.48,0.45%,0.57,03:19:22 PM,AAP,"129,397.00",7.34,59.27,4.94,,11.24,99.34,10.67,52.90,14.68,7 Must-Buy Dividend Stocks for Your April Buy List : https://markets.businessinsider.com/news/stocks/7-must-buy-dividend-stocks-for-your-april-buy-list-1032221389,"Advance Auto Parts  stock has received a consensus rating of hold. The average rating score is  and is based on 25 buy ratings, 35 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Advance Auto Parts stock was 109.11. According to the current price, Advance Auto Parts is 117.02% away from the 52-week low.","The high in the last 52 weeks of Advance Auto Parts stock was 231.14. According to the current price, Advance Auto Parts is 55.24% away from the 52-week high.","The 61 analysts offering price forecasts for Advance Auto Parts  have a median target of 210.56, with a high estimate of 294.00 and a low estimate of 129.00. The median estimate represents a 60.64 difference from the last price of 127.68."
AES,24.33,24.33,-0.02%,-0.01,03:19:48 PM,AES,"277,839.00",16.67,668.83,2.93,,17.22,99.59,1.70,4.74,3.97,Bank of America Securities Keeps Their Buy Rating on AES (AES) : https://markets.businessinsider.com/news/stocks/bank-of-america-securities-keeps-their-buy-rating-on-aes-aes-1032237691,"AES  stock has received a consensus rating of buy. The average rating score is  and is based on 22 buy ratings, 2 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of AES stock was 18.62. According to the current price, AES is 131.15% away from the 52-week low.","The high in the last 52 weeks of AES stock was 29.87. According to the current price, AES is 81.75% away from the 52-week high.","The 24 analysts offering price forecasts for AES  have a median target of 30.04, with a high estimate of 33.00 and a low estimate of 25.00. The median estimate represents a 81.29 difference from the last price of 24.42."
Aflac,66.58,66.93,0.52%,0.35,03:19:35 PM,AFL,"237,612.00",40.60,612.21,2.66,,12.68,90.30,5.67,39.38,7.31,Will Aflac (AFL) Beat Estimates Again in Its Next Earnings Report? : https://markets.businessinsider.com/news/stocks/will-aflac-afl-beat-estimates-again-in-its-next-earnings-report-12355882,"Aflac  stock has received a consensus rating of buy. The average rating score is  and is based on 20 buy ratings, 8 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Aflac stock was 52.08. According to the current price, Aflac is 128.73% away from the 52-week low.","The high in the last 52 weeks of Aflac stock was 74.01. According to the current price, Aflac is 90.59% away from the 52-week high.","The 30 analysts offering price forecasts for Aflac  have a median target of 66.87, with a high estimate of 80.00 and a low estimate of 47.00. The median estimate represents a 100.27 difference from the last price of 67.05."
