Date,Close,Open,High,Low,Volume,Estimate
2023-03-28,3970.45,3974.13,3974.62,3964.55,0,0
2023-03-29,3969.8,3970.32,3974.51,3968.37,0,0
2023-03-30,3976.9,3969.62,3978.69,3965.71,0,0
2023-03-31,3972.96,3976.93,3979.2,3970.52,0,0
2023-04-01,3962.55,3973.52,3973.52,3960.01,0,0
2023-04-02,3962.24,3962.47,3966.05,3961.46,0,0
2023-04-03,3968.82,3962.32,3969.8,3962.08,0,0
2023-04-04,3972.32,3969.06,3973.55,3969.06,0,0
2023-04-05,3973.23,3972.46,3976.42,3971.89,0,0
2023-04-06,3975.12,3973.47,3975.12,3971.24,0,0
2023-04-07,3971.53,3975.58,3975.98,3969.62,0,0
2023-04-08,3968.85,3971.92,3972.1,3967.18,0,0
2023-04-09,3969.9,3968.77,3970.74,3965.92,0,0
2023-04-10,3967.86,3969.99,3971.06,3966.55,0,0
2023-04-11,3963.9,3968.35,3969.37,3962.97,0,0
2023-04-12,3963.64,3963.65,3965.48,3962.63,0,0
2023-04-13,3956.99,3963.48,3965.01,3956.27,0,0
2023-04-14,3952.63,3956.7,3957.35,3951.53,0,0
2023-04-15,3955.85,3952.15,3956.59,3951.92,0,0
