Date,author,title,description,url,source,image,category,language,country,published_at
2023-04-14,Reuters,"S&P 500, Dow futures pare losses after resilient bank earnings","S&P 500, Dow futures pare losses after resilient bank earnings",https://www.investing.com/news/stock-market-news/futures-slip-ahead-of-bank-earnings-3055589,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEJ3D0AL_L.jpg,business,en,us,2023-04-14T11:26:36+00:00
2023-04-14,Reuters,"When it comes to climate risk, investors prize disclosure, report suggests","NEW YORK &#8212; Firms find that investors penalize their stock less for high greenhouse gas emissions if they voluntarily disclose that data, researchers at Lazard&#8217;s climate center said on Friday. Regulators in the United States are working on rules for how companies provide information to help investors gauge their impact on the environment, as part [&#8230;]",https://financialpost.com/pmn/business-pmn/when-it-comes-to-climate-risk-investors-prize-disclosure-report-suggests,Financial Post | Canada Business News,,business,en,us,2023-04-14T12:15:55+00:00
2023-04-14,D-e_v@IS,Does your personal productivity impact your business success?,"Have you ever felt like you&#8217;re working hard but not making any progress in your business? It&#8217;s a common feeling that can be frustrating and demotivating. In today&#8217;s competitive world, productivity has become the buzzword in business. Everyone wants to be more productive to achieve success in their business endeavors. But does personal productivity impact [&#8230;]The post Does your personal productivity impact your business success? appeared first on Insights Success.",https://insightssuccess.com/does-your-personal-productivity-impact-your-business-success/,Insights Success,,business,en,us,2023-04-14T12:20:33+00:00
2023-04-14,Reuters,HSBC warns France sale in jeopardy over capital concerns,"LONDON &#8212; HSBC&#8217;s planned sale of its French retail banking business to Cerberus-backed My Money Group may fall through due to interest rate rises in France that have boosted the amount of capital the buyer will need after completion, the British bank said on Friday. The potential failure of the deal would undo one of [&#8230;]",https://financialpost.com/pmn/business-pmn/hsbc-warns-france-sale-in-jeopardy-over-capital-concerns,Financial Post | Canada Business News,,business,en,us,2023-04-14T12:41:18+00:00
2023-04-14,The Associated Press,Top Fed official sees need for more interest rate increases,"WASHINGTON (AP) &#8212; A senior Federal Reserve official said Friday that there has been little progress on inflation for more than a year and that more interest rate hikes are needed to get prices under control. Christopher Waller, a member of the Fed&#8217;s governing board, did not specify how many more increases he supports, but [&#8230;]",https://financialpost.com/pmn/business-pmn/top-fed-official-sees-need-for-more-interest-rate-increases,Financial Post | Canada Business News,,business,en,us,2023-04-14T12:50:15+00:00
2023-04-14,Reuters,"Nissan takes its own road, minus Renault, in seeking tech tie-up","Nissan is developing growth plans in areas such as software and electric vehicles (EVs) independent of Renault SA as the automakers work to finalize terms of a sharply limited alliance, said seven people with knowledge of the matter. Japan&#8217;s third-biggest automaker by sales is seeking a partner outside the auto industry to develop software that [&#8230;]",https://financialpost.com/pmn/business-pmn/nissan-takes-its-own-road-minus-renault-in-seeking-tech-tie-up,Financial Post | Canada Business News,,business,en,us,2023-04-14T14:18:53+00:00
2023-04-14,Reuters,Gazprom’s Austrian business files for insolvency over Uniper dispute,"VIENNA &#8212; Russian gas group Gazprom&#8217;s Austrian business has filed for insolvency and hopes to restructure, a lawyer for the company said on Friday, blaming a halt to Russian gas deliveries that he said resulted from a dispute with Germany&#8217;s Uniper. The German utility said in November it had launched an arbitration process in pursuit [&#8230;]",https://financialpost.com/pmn/business-pmn/gazproms-austrian-business-files-for-insolvency-over-uniper-dispute,Financial Post | Canada Business News,,business,en,us,2023-04-14T14:28:39+00:00
2023-04-14,Reuters,"Africa needs bilateral help to cope with major funding squeeze, IMF says","WASHINGTON &#8212; Africa is facing a severe financing squeeze that, on the back of a series of unprecedented shocks, is disrupting economic growth and endangering its long-term development, the International Monetary Fund&#8217;s (IMF) top official for the region said. Sub-Saharan Africa was only beginning to recover from the COVID-19 pandemic&#8217;s economic fallout when Russia&#8217;s invasion [&#8230;]",https://financialpost.com/pmn/business-pmn/africa-needs-bilateral-help-to-cope-with-major-funding-squeeze-imf-says-2,Financial Post | Canada Business News,,business,en,us,2023-04-14T14:40:56+00:00
2023-04-14,Reuters,First-quarter S&P 500 earnings seen down 4.8%-Refinitiv,First-quarter S&P 500 earnings seen down 4.8%-Refinitiv,https://www.investing.com/news/stock-market-news/firstquarter-sp-500-earnings-seen-down-48refinitiv-3055924,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEJ3D0L8_L.jpg,business,en,us,2023-04-14T15:16:04+00:00
2023-04-14,Reuters,JPMorgan sees Turkey lira diving towards 30 per dollar after elections,"LONDON &#8212; Turkey&#8217;s lira is likely to drop sharply and could near 30 to the dollar following next month&#8217;s elections, bankers at JPMorgan have predicted, if it looks like only modest changes will be made to its unorthodox economic policies. Turkey&#8217;s tightly contested presidential and parliamentary elections on May 14 are perhaps the most consequential [&#8230;]",https://financialpost.com/pmn/business-pmn/jpmorgan-sees-turkey-lira-diving-towards-30-per-dollar-after-elections,Financial Post | Canada Business News,,business,en,us,2023-04-14T16:45:28+00:00
