Name,52 Week High,52 Week Low,Dividend Yield,EBITDA,Earnings/Share,Market Cap,Price,Price/Book,Price/Earnings,Price/Sales,SEC Filings,Sector,Symbol
3M Company,175.49,259.77,2.3328617,9048000000.0,7.92,138721055226.0,222.89,11.34,24.31,4.3902707,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,Industrials,MMM
A.O. Smith Corp,48.925,68.39,1.1479592,601000000.0,1.7,10783419933.0,60.24,6.35,27.76,3.5754826,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,Industrials,AOS
Abbott Laboratories,42.28,64.6,1.9089824,5744000000.0,0.26,102121042306.0,56.27,3.19,22.51,3.7404804,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,Health Care,ABT
AbbVie Inc.,60.05,125.86,2.4995599,10310000000.0,3.29,181386347059.0,108.48,26.14,19.41,6.291571,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,Health Care,ABBV
Amazon.com Inc,812.5,1498.0,0.0,16132000000.0,6.16,685873374731.0,1350.5,24.28,296.16,3.927053,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,Consumer Discretionary,AMZN
Apple Inc.,131.12,180.1,1.5795412,79386000000.0,9.2,809508034020.0,155.15,5.66,16.86,3.4586093,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,Information Technology,AAPL
Accenture plc,114.82,162.6,1.7144699,5643228000.0,5.44,98765855553.0,150.51,10.62,25.47,2.604117,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,Information Technology,ACN
Activision Blizzard,38.93,74.945,0.43190324,2704000000.0,1.28,52518668144.0,65.83,5.16,31.8,10.59512,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,Information Technology,ATVI
Acuity Brands Inc,142.0,225.36,0.35118526,587800000.0,7.43,6242377704.0,145.41,3.55,18.22,1.7953473,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI,Industrials,AYI
Adobe Systems Inc,114.451,204.45,0.0,2538040000.0,3.39,94550214268.0,185.16,11.06,52.31,13.092818,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,Information Technology,ADBE
Advance Auto Parts,78.81,169.55,0.21832074,853941000.0,6.19,8123611867.0,109.63,2.51,19.54,1.1301061,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,Consumer Discretionary,AAP
Advanced Micro Devices Inc,9.7,15.65,0.0,339000000.0,0.03,11191663795.0,11.22,21.47,187.0,2.1091955,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,Information Technology,AMD
AES Corp,10.0,12.05,4.961832,3001000000.0,-1.72,6920851212.0,10.06,2.2,9.96,0.65951383,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,Utilities,AES
Aetna Inc,119.51,194.4,1.101989,4139000000.0,5.75,59197016353.0,178.0,3.79,18.11,0.9923546,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,Health Care,AET
Affiliated Managers Group Inc,148.81,216.995,0.6387395,1261400000.0,12.07,10442174371.0,179.11,2.89,12.24,4.591235,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,Financials,AMG
AFLAC Inc,68.8,91.73,2.4299066,0.0,11.01,33422948000.0,83.25,1.53,12.24,1.5429344,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,Financials,AFL
Agilent Technologies Inc,49.23,75.0,0.8756979,1094000000.0,2.1,21984606918.0,65.05,4.56,27.45,6.493563,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,Health Care,A
Air Products & Chemicals Inc,133.6301,175.17,2.7811136,2542500000.0,13.66,34638387128.0,152.8,3.35,24.22,4.1163683,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,Materials,APD
Akamai Technologies Inc,44.65,69.56,0.0,789517000.0,1.79,10906904066.0,62.49,3.25,32.55,5.8546524,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,Information Technology,AKAM
Alaska Air Group Inc,59.25,101.43,1.9928383,1665000000.0,8.28,7903173734.0,64.04,2.21,9.66,0.9801092,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK,Industrials,ALK
Albemarle Corp,90.35,144.99,1.2004126,686030000.0,5.66,11782151266.0,105.18,2.98,26.03,5.3666205,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,Materials,ALB
Alexandria Real Estate Equities Inc,106.89,134.37,3.0262272,0.0,1.57,12043374429.0,114.58,2.07,19.03,10.492155,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,Real Estate,ARE
